item_id,item_idx
B001ELJE9W,580
B0009X6QJM,313
B003DNSR4M,1071
B003DKJAZA,1070
B00O2GW3EO,1895
B019WRM1IA,2111
B08DHTZNNF,2748
B0C3MZ128V,2977
B0BL3CW73P,2935
B07SBX48TY,2596
B08N7Q1J4W,2786
B07XTXXQ5K,2668
B08GS7MG3W,2759
B08CW2M37L,2744
B001ELJDYS,566
B005UUOAOM,1378
B00CD3V9CU,1626
B09JT1ZKC3,2861
B07FLTG5LK,2481
B087NMZMQ7,2720
B004C43FH0,1189
B004AYCNQG,1186
B001FRTK4O,786
B0045EPEAI,1174
B0055VHUAM,1337
B072V478NR,2344
B0BVVTQ5JP,2958
B00BZS9JV2,1618
B006VR689I,1417
B00IRHE892,1774
B0BKSLJMS7,2934
B07NVYR56H,2560
B08TG138F1,2801
B0C3KYVDWT,2976
B07G3KB7RT,2484
B07L73KHYH,2527
B07V5CFMY4,2617
B07T5QKKVP,2608
B075KJCML4,2376
B01MDQP1ZU,2224
B07HHVF2XG,2502
B0BLTV2BKZ,2939
B07D36WX84,2446
B0771ZXXV6,2392
B08N7PX4WX,2785
B0BWXXWVV6,2960
B094YHB1QK,2825
B00J5C3Z10,1782
B004RMK4BC,1253
B0086VPUHI,1482
B007KLQFYC,1450
B00CJ9OTNE,1633
B0050FDDPE,1278
B0080CAOYM,1474
B07YBXJ5FK,2687
B07X56RNBY,2654
B008CZN458,1505
B07YBXFF5C,2685
B07YBWT3PK,2672
B00BHRD4BM,1600
B07NPZZSRC,2549
B00Z9TM72Q,2010
B073RTKFY4,2349
B00Z9TIM3Y,1997
B081SL51F6,2700
B07624RBWB,2383
B004RMK5QG,1255
B07L6MJ6LD,2526
B000N5Z2L4,404
B01N3ASPNV,2242
B087NNPYP3,2722
B00DBDPOZ4,1656
B07T85XHX6,2609
B07F1HTGV1,2475
B07TCPVHTM,2610
B073K6WMJ9,2348
B07V2BBMK4,2614
B08588JHQH,2711
B09TV7294P,2891
B09GM4283G,2852
B0053BCP40,1331
B00MUMVV3G,1874
B00PQ1OQ4Y,1918
B00KWIYPZG,1833
B00KO4ULZ6,1810
B00KGW52DM,1802
B07BW77M9V,2422
B00KWFCUNS,1831
B07CB12726,2432
B00RZ7TC6Y,1933
B00L3LQ1FI,1842
B00BWBTJ4Y,1617
B002BRZ7JE,902
B016PWS77E,2082
