query_item,Full_SSA_time,Full_SSA_count,baseline_empty,Full_PRA_time,Full_PRA_count,Hybrid_SSA_GlobalAvg_time,Hybrid_SSA_GlobalAvg_cands,Hybrid_SSA_GlobalAvg_pruning,Hybrid_SSA_GlobalAvg_tp,Hybrid_SSA_GlobalAvg_fp,Hybrid_SSA_GlobalAvg_fn,Hybrid_SSA_GlobalAvg_prec,Hybrid_SSA_GlobalAvg_recall,Hybrid_SSA_GlobalAvg_f1,Hybrid_SSA_GlobalAvg_exact,Hybrid_PRA_GlobalAvg_time,Hybrid_PRA_GlobalAvg_cands,Hybrid_PRA_GlobalAvg_pruning,Hybrid_PRA_GlobalAvg_tp,Hybrid_PRA_GlobalAvg_fp,Hybrid_PRA_GlobalAvg_fn,Hybrid_PRA_GlobalAvg_prec,Hybrid_PRA_GlobalAvg_recall,Hybrid_PRA_GlobalAvg_f1,Hybrid_PRA_GlobalAvg_exact,Hybrid_SSA_UnionWin_time,Hybrid_SSA_UnionWin_cands,Hybrid_SSA_UnionWin_pruning,Hybrid_SSA_UnionWin_tp,Hybrid_SSA_UnionWin_fp,Hybrid_SSA_UnionWin_fn,Hybrid_SSA_UnionWin_prec,Hybrid_SSA_UnionWin_recall,Hybrid_SSA_UnionWin_f1,Hybrid_SSA_UnionWin_exact,Hybrid_PRA_UnionWin_time,Hybrid_PRA_UnionWin_cands,Hybrid_PRA_UnionWin_pruning,Hybrid_PRA_UnionWin_tp,Hybrid_PRA_UnionWin_fp,Hybrid_PRA_UnionWin_fn,Hybrid_PRA_UnionWin_prec,Hybrid_PRA_UnionWin_recall,Hybrid_PRA_UnionWin_f1,Hybrid_PRA_UnionWin_exact,Hybrid_SSA_DurableRank_time,Hybrid_SSA_DurableRank_cands,Hybrid_SSA_DurableRank_pruning,Hybrid_SSA_DurableRank_tp,Hybrid_SSA_DurableRank_fp,Hybrid_SSA_DurableRank_fn,Hybrid_SSA_DurableRank_prec,Hybrid_SSA_DurableRank_recall,Hybrid_SSA_DurableRank_f1,Hybrid_SSA_DurableRank_exact,Hybrid_PRA_DurableRank_time,Hybrid_PRA_DurableRank_cands,Hybrid_PRA_DurableRank_pruning,Hybrid_PRA_DurableRank_tp,Hybrid_PRA_DurableRank_fp,Hybrid_PRA_DurableRank_fn,Hybrid_PRA_DurableRank_prec,Hybrid_PRA_DurableRank_recall,Hybrid_PRA_DurableRank_f1,Hybrid_PRA_DurableRank_exact,Hybrid_SSA_LegacyMinRank_time,Hybrid_SSA_LegacyMinRank_cands,Hybrid_SSA_LegacyMinRank_pruning,Hybrid_SSA_LegacyMinRank_tp,Hybrid_SSA_LegacyMinRank_fp,Hybrid_SSA_LegacyMinRank_fn,Hybrid_SSA_LegacyMinRank_prec,Hybrid_SSA_LegacyMinRank_recall,Hybrid_SSA_LegacyMinRank_f1,Hybrid_SSA_LegacyMinRank_exact,Hybrid_PRA_LegacyMinRank_time,Hybrid_PRA_LegacyMinRank_cands,Hybrid_PRA_LegacyMinRank_pruning,Hybrid_PRA_LegacyMinRank_tp,Hybrid_PRA_LegacyMinRank_fp,Hybrid_PRA_LegacyMinRank_fn,Hybrid_PRA_LegacyMinRank_prec,Hybrid_PRA_LegacyMinRank_recall,Hybrid_PRA_LegacyMinRank_f1,Hybrid_PRA_LegacyMinRank_exact
1301,1.2192769050598145,8,False,1.1332247257232666,8,0.015381097793579102,15,0.9968193384223919,7,0,1,1.0,0.875,0.9333333333333333,False,0.012884140014648438,15,0.9968193384223919,7,0,1,1.0,0.875,0.9333333333333333,False,0.07625865936279297,34,0.9927905004240882,8,0,0,1.0,1.0,1.0,True,0.03814220428466797,34,0.9927905004240882,8,0,0,1.0,1.0,1.0,True,0.03990364074707031,15,0.9968193384223919,8,0,0,1.0,1.0,1.0,True,0.05944371223449707,15,0.9968193384223919,8,0,0,1.0,1.0,1.0,True,0.3936893939971924,15,0.9968193384223919,0,0,8,0.0,0.0,0.0,False,0.39533400535583496,15,0.9968193384223919,0,0,8,0.0,0.0,0.0,False
2799,0.9801664352416992,9,False,0.9762544631958008,9,0.014781475067138672,15,0.9968193384223919,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.017985105514526367,15,0.9968193384223919,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.06083869934082031,39,0.9917302798982188,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.06507253646850586,39,0.9917302798982188,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.057263851165771484,15,0.9968193384223919,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.05677628517150879,15,0.9968193384223919,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,False,0.28878140449523926,15,0.9968193384223919,0,0,9,0.0,0.0,0.0,False,0.25968289375305176,15,0.9968193384223919,0,0,9,0.0,0.0,0.0,False
1993,0.9401688575744629,3,False,1.0008323192596436,3,0.0166628360748291,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.0160982608795166,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.05392885208129883,34,0.9927905004240882,3,0,0,1.0,1.0,1.0,True,0.051378726959228516,34,0.9927905004240882,3,0,0,1.0,1.0,1.0,True,0.0494236946105957,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.05101299285888672,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.3007063865661621,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False,0.2582879066467285,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False
1376,0.8641490936279297,7,False,0.8467147350311279,7,0.010461807250976562,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.01018071174621582,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.029636859893798828,25,0.9946988973706531,7,0,0,1.0,1.0,1.0,True,0.029496431350708008,25,0.9946988973706531,7,0,0,1.0,1.0,1.0,True,0.03141069412231445,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.03136014938354492,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.28005146980285645,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False,0.29825639724731445,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False
1318,0.9922223091125488,13,False,0.9407730102539062,13,0.010980606079101562,15,0.9968193384223919,10,0,3,1.0,0.7692307692307693,0.8695652173913044,False,0.012880802154541016,15,0.9968193384223919,10,0,3,1.0,0.7692307692307693,0.8695652173913044,False,0.03779339790344238,31,0.9934266327396098,13,0,0,1.0,1.0,1.0,True,0.044782161712646484,31,0.9934266327396098,13,0,0,1.0,1.0,1.0,True,0.03949284553527832,15,0.9968193384223919,13,0,0,1.0,1.0,1.0,True,0.049449920654296875,15,0.9968193384223919,13,0,0,1.0,1.0,1.0,True,0.32512354850769043,15,0.9968193384223919,0,0,13,0.0,0.0,0.0,False,0.3033175468444824,15,0.9968193384223919,0,0,13,0.0,0.0,0.0,False
2293,0.8579998016357422,11,False,0.9652807712554932,11,0.015665531158447266,15,0.9968193384223919,5,0,6,1.0,0.45454545454545453,0.625,False,0.016074180603027344,15,0.9968193384223919,5,0,6,1.0,0.45454545454545453,0.625,False,0.05919051170349121,44,0.9906700593723494,11,0,0,1.0,1.0,1.0,True,0.06017637252807617,44,0.9906700593723494,11,0,0,1.0,1.0,1.0,True,0.05242800712585449,15,0.9968193384223919,11,0,0,1.0,1.0,1.0,True,0.05161929130554199,15,0.9968193384223919,11,0,0,1.0,1.0,1.0,True,0.36975812911987305,15,0.9968193384223919,0,0,11,0.0,0.0,0.0,False,0.4246480464935303,15,0.9968193384223919,0,0,11,0.0,0.0,0.0,False
455,1.1171700954437256,13,False,1.161292552947998,13,0.014110326766967773,15,0.9968193384223919,9,0,4,1.0,0.6923076923076923,0.8181818181818181,False,0.011774778366088867,15,0.9968193384223919,9,0,4,1.0,0.6923076923076923,0.8181818181818181,False,0.05022883415222168,34,0.9927905004240882,13,0,0,1.0,1.0,1.0,True,0.053873538970947266,34,0.9927905004240882,13,0,0,1.0,1.0,1.0,True,0.05089688301086426,15,0.9968193384223919,13,0,0,1.0,1.0,1.0,True,0.05122542381286621,15,0.9968193384223919,13,0,0,1.0,1.0,1.0,True,0.48801684379577637,15,0.9968193384223919,0,0,13,0.0,0.0,0.0,False,0.3177316188812256,15,0.9968193384223919,0,0,13,0.0,0.0,0.0,False
965,0.961022138595581,4,False,1.0227279663085938,4,0.010119199752807617,15,0.9968193384223919,4,0,0,1.0,1.0,1.0,True,0.01154184341430664,15,0.9968193384223919,4,0,0,1.0,1.0,1.0,True,0.04011821746826172,42,0.9910941475826972,4,0,0,1.0,1.0,1.0,True,0.045532941818237305,42,0.9910941475826972,4,0,0,1.0,1.0,1.0,True,0.04884934425354004,15,0.9968193384223919,4,0,0,1.0,1.0,1.0,True,0.049154043197631836,15,0.9968193384223919,4,0,0,1.0,1.0,1.0,True,0.31226515769958496,15,0.9968193384223919,0,0,4,0.0,0.0,0.0,False,0.33487486839294434,15,0.9968193384223919,0,0,4,0.0,0.0,0.0,False
485,1.013800859451294,5,False,0.8676235675811768,5,0.013016462326049805,15,0.9968193384223919,5,0,0,1.0,1.0,1.0,True,0.013695955276489258,15,0.9968193384223919,5,0,0,1.0,1.0,1.0,True,0.04216122627258301,38,0.9919423240033927,5,0,0,1.0,1.0,1.0,True,0.05963635444641113,38,0.9919423240033927,5,0,0,1.0,1.0,1.0,True,0.05784034729003906,15,0.9968193384223919,5,0,0,1.0,1.0,1.0,True,0.04465746879577637,15,0.9968193384223919,5,0,0,1.0,1.0,1.0,True,0.26192283630371094,15,0.9968193384223919,0,0,5,0.0,0.0,0.0,False,0.33258891105651855,15,0.9968193384223919,0,0,5,0.0,0.0,0.0,False
2088,0.7356815338134766,2,False,0.9367680549621582,2,0.012039422988891602,15,0.9968193384223919,2,0,0,1.0,1.0,1.0,True,0.013088464736938477,15,0.9968193384223919,2,0,0,1.0,1.0,1.0,True,0.04829549789428711,50,0.9893977947413062,2,0,0,1.0,1.0,1.0,True,0.04839444160461426,50,0.9893977947413062,2,0,0,1.0,1.0,1.0,True,0.030783414840698242,15,0.9968193384223919,2,0,0,1.0,1.0,1.0,True,0.03139090538024902,15,0.9968193384223919,2,0,0,1.0,1.0,1.0,True,0.30075573921203613,15,0.9968193384223919,0,0,2,0.0,0.0,0.0,False,0.332334041595459,15,0.9968193384223919,0,0,2,0.0,0.0,0.0,False
