k,tau,c,Method,Runtime,Recall,Candidates
10,0.5,-,Full_SSA,0.0004162788391113281,1.0,3000
10,0.5,1.0,Hybrid_SSA,0.012621879577636719,0.0,10
10,0.5,1.5,Hybrid_SSA,0.01862168312072754,0.0,15
10,0.5,2.0,Hybrid_SSA,0.022675275802612305,0.0,20
10,0.8,-,Full_SSA,0.000392913818359375,1.0,3000
10,0.8,1.0,Hybrid_SSA,0.011839151382446289,0.0,10
10,0.8,1.5,Hybrid_SSA,0.01892876625061035,0.0,15
10,0.8,2.0,Hybrid_SSA,0.021780967712402344,0.0,20
10,1.0,-,Full_SSA,0.0003905296325683594,1.0,3000
10,1.0,1.0,Hybrid_SSA,0.014547348022460938,1.0,10
10,1.0,1.5,Hybrid_SSA,0.01876044273376465,1.0,15
10,1.0,2.0,Hybrid_SSA,0.022839069366455078,1.0,20
50,0.5,-,Full_SSA,0.0008223056793212891,1.0,3000
50,0.5,1.0,Hybrid_SSA,0.06288743019104004,0.0,50
50,0.5,1.5,Hybrid_SSA,0.08959507942199707,0.0,75
50,0.5,2.0,Hybrid_SSA,0.1256396770477295,0.0,100
50,0.8,-,Full_SSA,0.00040411949157714844,1.0,3000
50,0.8,1.0,Hybrid_SSA,0.05985403060913086,0.0,50
50,0.8,1.5,Hybrid_SSA,0.09167933464050293,0.0,75
50,0.8,2.0,Hybrid_SSA,0.12336611747741699,0.0,100
50,1.0,-,Full_SSA,0.0008015632629394531,1.0,3000
50,1.0,1.0,Hybrid_SSA,0.06192493438720703,1.0,50
50,1.0,1.5,Hybrid_SSA,0.08977508544921875,1.0,75
50,1.0,2.0,Hybrid_SSA,0.12446045875549316,1.0,100
100,0.5,-,Full_SSA,0.0008254051208496094,1.0,3000
100,0.5,1.0,Hybrid_SSA,0.12284255027770996,0.0,100
100,0.5,1.5,Hybrid_SSA,0.21595191955566406,0.0,150
100,0.5,2.0,Hybrid_SSA,0.2774202823638916,0.0,200
100,0.8,-,Full_SSA,0.0004611015319824219,1.0,3000
100,0.8,1.0,Hybrid_SSA,0.12223982810974121,0.0,100
100,0.8,1.5,Hybrid_SSA,0.24791431427001953,0.0,150
100,0.8,2.0,Hybrid_SSA,0.28975749015808105,0.0,200
100,1.0,-,Full_SSA,0.00043511390686035156,1.0,3000
100,1.0,1.0,Hybrid_SSA,0.12314295768737793,1.0,100
100,1.0,1.5,Hybrid_SSA,0.21918582916259766,1.0,150
100,1.0,2.0,Hybrid_SSA,0.2902035713195801,1.0,200
