Query,Method,Runtime,Candidates,Results,Recall,PruningRatio
9754,Full_SSA,4.789231538772583,3000,0,1.0,0.0
9754,Full_PRA,4.727938652038574,3000,0,1.0,0.0
9754,Hybrid_SSA,0.11309003829956055,75,0,1.0,0.975
9754,Hybrid_PRA,0.12280917167663574,75,0,1.0,0.975
941,Full_SSA,4.801912546157837,3000,0,1.0,0.0
941,Full_PRA,4.588269472122192,3000,0,1.0,0.0
941,Hybrid_SSA,0.10015296936035156,75,0,1.0,0.975
941,Hybrid_PRA,0.09843897819519043,75,0,1.0,0.975
5263,Full_SSA,3.5092556476593018,3000,0,1.0,0.0
5263,Full_PRA,3.5285122394561768,3000,0,1.0,0.0
5263,Hybrid_SSA,0.09140825271606445,75,0,1.0,0.975
5263,Hybrid_PRA,0.09475326538085938,75,0,1.0,0.975
7611,Full_SSA,3.587770700454712,3000,0,1.0,0.0
7611,Full_PRA,3.6786563396453857,3000,0,1.0,0.0
7611,Hybrid_SSA,0.09213709831237793,75,0,1.0,0.975
7611,Hybrid_PRA,0.08962702751159668,75,0,1.0,0.975
7356,Full_SSA,3.7102551460266113,3000,0,1.0,0.0
7356,Full_PRA,3.672437906265259,3000,0,1.0,0.0
7356,Hybrid_SSA,0.1021575927734375,75,0,1.0,0.975
7356,Hybrid_PRA,0.09902095794677734,75,0,1.0,0.975
