Parameter,Value,Method,Runtime,Candidates,Results,PruningRatio,Recall
users,1000,Full_SSA,1.198406457901001,1000,0,0.0,1.0
users,1000,Hybrid_SSA,0.09460258483886719,75,0,0.925,1.0
users,3000,Full_SSA,3.379092216491699,3000,0,0.0,1.0
users,3000,Hybrid_SSA,0.08864903450012207,75,0,0.975,1.0
users,5000,Full_SSA,6.365159273147583,5000,22,0.0,1.0
users,5000,Hybrid_SSA,0.11312747001647949,75,0,0.985,0.0
items,5000,Full_SSA,1.7653486728668213,3000,0,0.0,1.0
items,5000,Hybrid_SSA,0.04919028282165527,75,0,0.975,1.0
items,15000,Full_SSA,5.6472320556640625,3000,0,0.0,1.0
items,15000,Hybrid_SSA,0.1428060531616211,75,0,0.975,1.0
items,25000,Full_SSA,9.947041511535645,3000,0,0.0,1.0
items,25000,Hybrid_SSA,0.28206562995910645,75,0,0.975,1.0
timestamps,5,Full_SSA,1.7233502864837646,3000,0,0.0,1.0
timestamps,5,Hybrid_SSA,0.05050230026245117,75,0,0.975,1.0
timestamps,10,Full_SSA,3.68802809715271,3000,0,0.0,1.0
timestamps,10,Hybrid_SSA,0.09173369407653809,75,0,0.975,1.0
timestamps,20,Full_SSA,6.93187689781189,3000,0,0.0,1.0
timestamps,20,Hybrid_SSA,0.18585491180419922,75,0,0.975,1.0
