k,tau,c,Method,Runtime,Recall,Candidates
10,0.5,-,Full_SSA,0.0004398822784423828,1.0,3000
10,0.5,1.0,Hybrid_SSA,0.013780832290649414,0.0,10
10,0.5,1.5,Hybrid_SSA,0.020388126373291016,0.0,15
10,0.5,2.0,Hybrid_SSA,0.024867534637451172,0.0,20
10,0.8,-,Full_SSA,0.00038814544677734375,1.0,3000
10,0.8,1.0,Hybrid_SSA,0.01375436782836914,0.0,10
10,0.8,1.5,Hybrid_SSA,0.01961231231689453,0.0,15
10,0.8,2.0,Hybrid_SSA,0.025363445281982422,0.0,20
10,1.0,-,Full_SSA,0.0004024505615234375,1.0,3000
10,1.0,1.0,Hybrid_SSA,0.012950420379638672,0.0,10
10,1.0,1.5,Hybrid_SSA,0.019988536834716797,0.0,15
10,1.0,2.0,Hybrid_SSA,0.0248568058013916,0.0,20
50,0.5,-,Full_SSA,0.00045490264892578125,1.0,3000
50,0.5,1.0,Hybrid_SSA,0.06445431709289551,0.0,50
50,0.5,1.5,Hybrid_SSA,0.09675765037536621,0.0,75
50,0.5,2.0,Hybrid_SSA,0.14696121215820312,0.0,100
50,0.8,-,Full_SSA,0.0004425048828125,1.0,3000
50,0.8,1.0,Hybrid_SSA,0.07009744644165039,0.0,50
50,0.8,1.5,Hybrid_SSA,0.1021111011505127,0.0,75
50,0.8,2.0,Hybrid_SSA,0.21659374237060547,0.0,100
50,1.0,-,Full_SSA,0.0003936290740966797,1.0,3000
50,1.0,1.0,Hybrid_SSA,0.05943870544433594,0.0,50
50,1.0,1.5,Hybrid_SSA,0.09196615219116211,0.0,75
50,1.0,2.0,Hybrid_SSA,0.16438770294189453,0.0,100
100,0.5,-,Full_SSA,0.00042891502380371094,1.0,3000
100,0.5,1.0,Hybrid_SSA,0.1246039867401123,0.0,100
100,0.5,1.5,Hybrid_SSA,0.23136162757873535,0.0,150
100,0.5,2.0,Hybrid_SSA,0.3127608299255371,0.0,200
100,0.8,-,Full_SSA,0.00041675567626953125,1.0,3000
100,0.8,1.0,Hybrid_SSA,0.12214136123657227,0.0,100
100,0.8,1.5,Hybrid_SSA,0.22458910942077637,0.0,150
100,0.8,2.0,Hybrid_SSA,0.2929956912994385,0.0,200
100,1.0,-,Full_SSA,0.0009045600891113281,1.0,3000
100,1.0,1.0,Hybrid_SSA,0.13216948509216309,0.0,100
100,1.0,1.5,Hybrid_SSA,0.21880412101745605,0.0,150
100,1.0,2.0,Hybrid_SSA,0.2825901508331299,0.0,200
