Query,Method,Runtime,Candidates,Results,Recall,PruningRatio
7737,Full_SSA,5.458461284637451,3000,7,1.0,0.0
7737,Full_PRA,4.953874826431274,3000,7,1.0,0.0
7737,Hybrid_SSA,0.18685388565063477,75,0,0.0,0.975
7737,Hybrid_PRA,0.15611886978149414,75,0,0.0,0.975
4388,Full_SSA,5.189970016479492,3000,4,1.0,0.0
4388,Full_PRA,5.394592046737671,3000,4,1.0,0.0
4388,Hybrid_SSA,0.12105536460876465,75,0,0.0,0.975
4388,Hybrid_PRA,0.13404417037963867,75,0,0.0,0.975
6544,Full_SSA,5.3396711349487305,3000,11,1.0,0.0
6544,Full_PRA,4.871708869934082,3000,11,1.0,0.0
6544,Hybrid_SSA,0.12461996078491211,75,0,0.0,0.975
6544,Hybrid_PRA,0.12769818305969238,75,0,0.0,0.975
892,Full_SSA,4.644050598144531,3000,11,1.0,0.0
892,Full_PRA,4.670178174972534,3000,11,1.0,0.0
892,Hybrid_SSA,0.12512469291687012,75,0,0.0,0.975
892,Hybrid_PRA,0.21204590797424316,75,0,0.0,0.975
4330,Full_SSA,4.753667593002319,3000,8,1.0,0.0
4330,Full_PRA,3.906148672103882,3000,8,1.0,0.0
4330,Hybrid_SSA,0.10008430480957031,75,0,0.0,0.975
4330,Hybrid_PRA,0.08961629867553711,75,0,0.0,0.975
