Parameter,Value,Method,Runtime,Candidates,Results,PruningRatio,Recall
users,1000,Full_SSA,1.2770626544952393,1000,2,0.0,1.0
users,1000,Hybrid_SSA,0.09343910217285156,75,0,0.925,0.0
users,3000,Full_SSA,3.5096685886383057,3000,11,0.0,1.0
users,3000,Hybrid_SSA,0.0911872386932373,75,0,0.975,0.0
users,5000,Full_SSA,7.099733114242554,5000,17,0.0,1.0
users,5000,Hybrid_SSA,0.11281633377075195,75,0,0.985,0.0
items,5000,Full_SSA,1.7917661666870117,3000,11,0.0,1.0
items,5000,Hybrid_SSA,0.04865622520446777,75,0,0.975,0.0
items,15000,Full_SSA,5.495826005935669,3000,4,0.0,1.0
items,15000,Hybrid_SSA,0.14257454872131348,75,0,0.975,0.0
items,25000,Full_SSA,8.672090291976929,3000,2,0.0,1.0
items,25000,Hybrid_SSA,0.22949934005737305,75,0,0.975,0.0
timestamps,5,Full_SSA,1.688499927520752,3000,12,0.0,1.0
timestamps,5,Hybrid_SSA,0.046790361404418945,75,0,0.975,0.0
timestamps,10,Full_SSA,3.753373861312866,3000,11,0.0,1.0
timestamps,10,Hybrid_SSA,0.09525513648986816,75,0,0.975,0.0
timestamps,20,Full_SSA,7.010439872741699,3000,8,0.0,1.0
timestamps,20,Hybrid_SSA,0.23508739471435547,75,0,0.975,0.0
