Method,c,min_candidates,boundary_margin,rough_pool,exact_rerank,Avg_Candidates,Recall,Precision,ExactMatch,Avg_Runtime_s,Speedup_vs_FullSSA,Pruning,Total_FN,Total_FP
Full_SSA,-,-,-,-,-,5000.0,,,,0.5761,1.0,0.0,-,-
Baseline_c2_min20,2.0,20,-,-,False,20.0,0.5544,1.0,0.94,0.0027,211.2,0.996,187,0
c3_min20,3.0,20,-,-,False,30.0,0.6681,1.0,0.96,0.0033,172.0,0.994,161,0
c5_min20,5.0,20,-,-,False,50.0,0.7762,0.995,0.96,0.014,41.2,0.99,122,1
c10_min20,10.0,20,-,-,False,100.0,0.9032,0.996,0.96,0.0196,29.4,0.98,60,1
c20_min20,20.0,20,-,-,False,200.0,1.0,1.0,1.0,0.0296,19.5,0.96,0,0
c30_min20,30.0,20,-,-,False,300.0,1.0,0.9984,0.98,0.0433,13.3,0.94,0,1
c50_min20,50.0,20,-,-,False,500.0,1.0,1.0,1.0,0.0681,8.5,0.9,0,0
c2_min50,2.0,50,-,-,False,50.0,0.7762,0.995,0.96,0.0077,75.2,0.99,122,1
c2_min100,2.0,100,-,-,False,100.0,0.9032,0.996,0.96,0.0165,35.0,0.98,60,1
c2_min200,2.0,200,-,-,False,200.0,1.0,1.0,1.0,0.0284,20.3,0.96,0,0
c2_min300,2.0,300,-,-,False,300.0,1.0,0.9984,0.98,0.0431,13.4,0.94,0,1
c2_min500,2.0,500,-,-,False,500.0,1.0,1.0,1.0,0.0679,8.5,0.9,0,0
c2_min200_bm2,2.0,200,2,-,False,200.0,1.0,1.0,1.0,0.0307,18.8,0.96,0,0
c2_min200_bm5,2.0,200,5,-,False,201.4,1.0,0.9969,0.98,0.0295,19.5,0.9597,0,2
c2_min200_bm10,2.0,200,10,-,False,207.2,1.0,0.9984,0.98,0.033,17.4,0.9586,0,1
c2_min200_bm20,2.0,200,20,-,False,219.9,1.0,1.0,1.0,0.0306,18.8,0.956,0,0
c2_pool100_exact,2.0,100,-,100,True,100.0,0.9032,0.996,0.96,0.0085,67.6,0.98,60,1
c2_pool200_exact,2.0,200,-,200,True,200.0,0.996,1.0,0.98,0.0102,56.4,0.96,1,0
c2_pool300_exact,2.0,300,-,300,True,300.0,0.996,1.0,0.98,0.0153,37.6,0.94,1,0
c2_pool500_exact,2.0,500,-,500,True,500.0,0.996,1.0,0.98,0.0294,19.6,0.9,1,0
c2_min200_bm5_pool500_exact,2.0,200,5,500,True,201.4,0.996,1.0,0.98,0.0106,54.2,0.9597,1,0
c2_min200_bm10_pool500_exact,2.0,200,10,500,True,207.2,0.996,1.0,0.98,0.0117,49.1,0.9586,1,0
c2_min500_bm10_pool500_exact,2.0,500,10,500,True,500.0,0.996,1.0,0.98,0.0278,20.7,0.9,1,0
