k,tau,c,Method,Runtime,Recall,Candidates
10,0.5,-,Full_SSA,0.0012226104736328125,1.0,3000
10,0.5,1.0,Hybrid_SSA,0.039450645446777344,0.0,10
10,0.5,1.5,Hybrid_SSA,0.0425562858581543,0.0,15
10,0.5,2.0,Hybrid_SSA,0.06286430358886719,0.0,20
10,0.8,-,Full_SSA,0.0006706714630126953,1.0,3000
10,0.8,1.0,Hybrid_SSA,0.03556180000305176,0.0,10
10,0.8,1.5,Hybrid_SSA,0.059105634689331055,0.0,15
10,0.8,2.0,Hybrid_SSA,0.0920097827911377,0.0,20
10,1.0,-,Full_SSA,0.0006458759307861328,1.0,3000
10,1.0,1.0,Hybrid_SSA,0.03515148162841797,0.0,10
10,1.0,1.5,Hybrid_SSA,0.04327082633972168,0.0,15
10,1.0,2.0,Hybrid_SSA,0.057898521423339844,0.0,20
50,0.5,-,Full_SSA,0.0005259513854980469,1.0,3000
50,0.5,1.0,Hybrid_SSA,0.18419504165649414,0.0,50
50,0.5,1.5,Hybrid_SSA,0.289839506149292,0.0,75
50,0.5,2.0,Hybrid_SSA,0.24445414543151855,0.0,100
50,0.8,-,Full_SSA,0.0003514289855957031,1.0,3000
50,0.8,1.0,Hybrid_SSA,0.09691309928894043,0.0,50
50,0.8,1.5,Hybrid_SSA,0.13199424743652344,0.0,75
50,0.8,2.0,Hybrid_SSA,0.1957712173461914,0.0,100
50,1.0,-,Full_SSA,0.0003883838653564453,1.0,3000
50,1.0,1.0,Hybrid_SSA,0.09623122215270996,0.0,50
50,1.0,1.5,Hybrid_SSA,0.1461317539215088,0.0,75
50,1.0,2.0,Hybrid_SSA,0.19018793106079102,0.0,100
100,0.5,-,Full_SSA,0.0005414485931396484,1.0,3000
100,0.5,1.0,Hybrid_SSA,0.420351505279541,0.0,100
100,0.5,1.5,Hybrid_SSA,0.9283015727996826,0.0,150
100,0.5,2.0,Hybrid_SSA,1.2511699199676514,0.0,200
100,0.8,-,Full_SSA,0.00041103363037109375,1.0,3000
100,0.8,1.0,Hybrid_SSA,0.20410418510437012,0.0,100
100,0.8,1.5,Hybrid_SSA,0.3428049087524414,0.0,150
100,0.8,2.0,Hybrid_SSA,0.4404888153076172,0.0,200
100,1.0,-,Full_SSA,0.0004107952117919922,1.0,3000
100,1.0,1.0,Hybrid_SSA,0.1871354579925537,0.0,100
100,1.0,1.5,Hybrid_SSA,0.3468806743621826,0.0,150
100,1.0,2.0,Hybrid_SSA,0.42933225631713867,0.0,200
