Query,Method,Runtime,Candidates,Results,Recall,PruningRatio
14687,Full_SSA,5.952896595001221,3000,10,1.0,0.0
14687,Full_PRA,5.63503623008728,3000,10,1.0,0.0
14687,Hybrid_SSA,0.13947081565856934,75,0,0.0,0.975
14687,Hybrid_PRA,0.13164544105529785,75,0,0.0,0.975
11154,Full_SSA,6.112489223480225,3000,6,1.0,0.0
11154,Full_PRA,5.497340202331543,3000,6,1.0,0.0
11154,Hybrid_SSA,0.14414405822753906,75,0,0.0,0.975
11154,Hybrid_PRA,0.1402146816253662,75,0,0.0,0.975
10463,Full_SSA,5.829859256744385,3000,6,1.0,0.0
10463,Full_PRA,5.594123601913452,3000,6,1.0,0.0
10463,Hybrid_SSA,0.1718761920928955,75,0,0.0,0.975
10463,Hybrid_PRA,0.13972091674804688,75,0,0.0,0.975
4633,Full_SSA,6.292404651641846,3000,10,1.0,0.0
4633,Full_PRA,7.317960262298584,3000,10,1.0,0.0
4633,Hybrid_SSA,0.14375853538513184,75,0,0.0,0.975
4633,Hybrid_PRA,0.13682961463928223,75,0,0.0,0.975
11758,Full_SSA,5.338509559631348,3000,7,1.0,0.0
11758,Full_PRA,5.121022939682007,3000,7,1.0,0.0
11758,Hybrid_SSA,0.14290332794189453,75,0,0.0,0.975
11758,Hybrid_PRA,0.1347494125366211,75,0,0.0,0.975
