k,tau,c,Method,Runtime,Recall,Candidates
10,0.5,-,Full_SSA,0.0004062652587890625,1.0,3000
10,0.5,-,Full_PRA,0.0022389888763427734,1.0,3000
10,0.5,1.0,Hybrid_SSA,0.004457712173461914,1.0,10
10,0.5,1.0,Hybrid_PRA,0.004348039627075195,1.0,10
10,0.5,1.5,Hybrid_SSA,0.0048062801361083984,1.0,15
10,0.5,1.5,Hybrid_PRA,0.0049991607666015625,1.0,15
10,0.5,2.0,Hybrid_SSA,0.005439043045043945,1.0,20
10,0.5,2.0,Hybrid_PRA,0.0049092769622802734,1.0,20
10,0.8,-,Full_SSA,0.00040435791015625,1.0,3000
10,0.8,-,Full_PRA,0.002399444580078125,1.0,3000
10,0.8,1.0,Hybrid_SSA,0.004715442657470703,1.0,10
10,0.8,1.0,Hybrid_PRA,0.004185914993286133,1.0,10
10,0.8,1.5,Hybrid_SSA,0.004642486572265625,1.0,15
10,0.8,1.5,Hybrid_PRA,0.004221916198730469,1.0,15
10,0.8,2.0,Hybrid_SSA,0.005365610122680664,1.0,20
10,0.8,2.0,Hybrid_PRA,0.005903720855712891,1.0,20
10,1.0,-,Full_SSA,0.0003521442413330078,1.0,3000
10,1.0,-,Full_PRA,0.00246429443359375,1.0,3000
10,1.0,1.0,Hybrid_SSA,0.0055332183837890625,1.0,10
10,1.0,1.0,Hybrid_PRA,0.005138397216796875,1.0,10
10,1.0,1.5,Hybrid_SSA,0.006217241287231445,1.0,15
10,1.0,1.5,Hybrid_PRA,0.005876779556274414,1.0,15
10,1.0,2.0,Hybrid_SSA,0.0065877437591552734,1.0,20
10,1.0,2.0,Hybrid_PRA,0.0074920654296875,1.0,20
50,0.5,-,Full_SSA,0.0004076957702636719,1.0,3000
50,0.5,-,Full_PRA,0.12030816078186035,1.0,3000
50,0.5,1.0,Hybrid_SSA,0.009620904922485352,0.0,50
50,0.5,1.0,Hybrid_PRA,0.009256839752197266,0.0,50
50,0.5,1.5,Hybrid_SSA,0.011415719985961914,0.0,75
50,0.5,1.5,Hybrid_PRA,0.011352300643920898,0.0,75
50,0.5,2.0,Hybrid_SSA,0.019200801849365234,0.0,100
50,0.5,2.0,Hybrid_PRA,0.01779770851135254,0.0,100
50,0.8,-,Full_SSA,0.0005712509155273438,1.0,3000
50,0.8,-,Full_PRA,0.11992835998535156,1.0,3000
50,0.8,1.0,Hybrid_SSA,0.009019613265991211,0.0,50
50,0.8,1.0,Hybrid_PRA,0.008057832717895508,0.0,50
50,0.8,1.5,Hybrid_SSA,0.011499404907226562,0.0,75
50,0.8,1.5,Hybrid_PRA,0.010530948638916016,0.0,75
50,0.8,2.0,Hybrid_SSA,0.017879009246826172,0.0,100
50,0.8,2.0,Hybrid_PRA,0.017583131790161133,0.0,100
50,1.0,-,Full_SSA,0.00041604042053222656,1.0,3000
50,1.0,-,Full_PRA,0.12075614929199219,1.0,3000
50,1.0,1.0,Hybrid_SSA,0.009656429290771484,0.0,50
50,1.0,1.0,Hybrid_PRA,0.008736371994018555,0.0,50
50,1.0,1.5,Hybrid_SSA,0.010946273803710938,0.0,75
50,1.0,1.5,Hybrid_PRA,0.011151790618896484,0.0,75
50,1.0,2.0,Hybrid_SSA,0.01746678352355957,0.0,100
50,1.0,2.0,Hybrid_PRA,0.02060866355895996,0.0,100
100,0.5,-,Full_SSA,0.0006606578826904297,1.0,3000
100,0.5,-,Full_PRA,1.8611414432525635,1.0,3000
100,0.5,1.0,Hybrid_SSA,0.017254114151000977,0.0,100
100,0.5,1.0,Hybrid_PRA,0.017670869827270508,0.0,100
100,0.5,1.5,Hybrid_SSA,0.028279781341552734,0.0,150
100,0.5,1.5,Hybrid_PRA,0.027291297912597656,0.0,150
100,0.5,2.0,Hybrid_SSA,0.06070446968078613,0.0,200
100,0.5,2.0,Hybrid_PRA,0.05530571937561035,0.0,200
100,0.8,-,Full_SSA,0.0006949901580810547,1.0,3000
100,0.8,-,Full_PRA,1.87153959274292,1.0,3000
100,0.8,1.0,Hybrid_SSA,0.018587827682495117,0.0,100
100,0.8,1.0,Hybrid_PRA,0.020158052444458008,0.0,100
100,0.8,1.5,Hybrid_SSA,0.0348055362701416,0.0,150
100,0.8,1.5,Hybrid_PRA,0.027842044830322266,0.0,150
100,0.8,2.0,Hybrid_SSA,0.050925493240356445,0.0,200
100,0.8,2.0,Hybrid_PRA,0.04232645034790039,0.0,200
100,1.0,-,Full_SSA,0.0006291866302490234,1.0,3000
100,1.0,-,Full_PRA,1.7943100929260254,1.0,3000
100,1.0,1.0,Hybrid_SSA,0.020644426345825195,0.0,100
100,1.0,1.0,Hybrid_PRA,0.017530202865600586,0.0,100
100,1.0,1.5,Hybrid_SSA,0.026479005813598633,0.0,150
100,1.0,1.5,Hybrid_PRA,0.02812647819519043,0.0,150
100,1.0,2.0,Hybrid_SSA,0.047005414962768555,0.0,200
100,1.0,2.0,Hybrid_PRA,0.04155397415161133,0.0,200
