Query,Method,Runtime,Candidates,Results,Recall,PruningRatio
973,Full_SSA,0.363239049911499,3000,0,1.0,0.0
973,Full_PRA,0.3569307327270508,3000,0,1.0,0.0
973,Hybrid_SSA,0.005042076110839844,15,0,1.0,0.995
973,Hybrid_PRA,0.004232645034790039,15,0,1.0,0.995
93,Full_SSA,0.347459077835083,3000,1,1.0,0.0
93,Full_PRA,0.3582475185394287,3000,1,1.0,0.0
93,Hybrid_SSA,0.005172252655029297,15,0,0.0,0.995
93,Hybrid_PRA,0.004403114318847656,15,0,0.0,0.995
524,Full_SSA,0.35517358779907227,3000,2,1.0,0.0
524,Full_PRA,0.36270928382873535,3000,2,1.0,0.0
524,Hybrid_SSA,0.004494190216064453,15,0,0.0,0.995
524,Hybrid_PRA,0.0058135986328125,15,0,0.0,0.995
761,Full_SSA,0.3525118827819824,3000,1,1.0,0.0
761,Full_PRA,0.3876979351043701,3000,1,1.0,0.0
761,Hybrid_SSA,0.008990764617919922,15,0,0.0,0.995
761,Hybrid_PRA,0.007465362548828125,15,0,0.0,0.995
735,Full_SSA,0.3781421184539795,3000,3,1.0,0.0
735,Full_PRA,0.3674027919769287,3000,3,1.0,0.0
735,Hybrid_SSA,0.0051288604736328125,15,0,0.0,0.995
735,Hybrid_PRA,0.005267143249511719,15,0,0.0,0.995
