Parameter,Value,Method,Runtime,Candidates,Results,PruningRatio,Recall
users,1000,Full_SSA,0.12658023834228516,1000,1,0.0,1.0
users,1000,Full_PRA,0.12083101272583008,1000,1,0.0,1.0
users,1000,Hybrid_SSA,0.002960681915283203,15,0,0.985,0.0
users,1000,Hybrid_PRA,0.0025207996368408203,15,0,0.985,0.0
users,3000,Full_SSA,0.3794715404510498,3000,23,0.0,1.0
users,3000,Full_PRA,0.46822071075439453,3000,23,0.0,1.0
users,3000,Hybrid_SSA,0.0055005550384521484,15,0,0.995,0.0
users,3000,Hybrid_PRA,0.004785299301147461,15,0,0.995,0.0
users,5000,Full_SSA,0.5883891582489014,5000,21,0.0,1.0
users,5000,Full_PRA,0.7502682209014893,5000,21,0.0,1.0
users,5000,Hybrid_SSA,0.007872581481933594,15,0,0.997,0.0
users,5000,Hybrid_PRA,0.007628679275512695,15,0,0.997,0.0
items,500,Full_SSA,0.1835489273071289,3000,0,0.0,1.0
items,500,Full_PRA,0.19428133964538574,3000,0,0.0,1.0
items,500,Hybrid_SSA,0.005708217620849609,15,0,0.995,1.0
items,500,Hybrid_PRA,0.00505828857421875,15,0,0.995,1.0
items,1000,Full_SSA,0.36931395530700684,3000,23,0.0,1.0
items,1000,Full_PRA,0.648566722869873,3000,23,0.0,1.0
items,1000,Hybrid_SSA,0.007914543151855469,15,0,0.995,0.0
items,1000,Hybrid_PRA,0.006199359893798828,15,0,0.995,0.0
items,5000,Full_SSA,1.757408618927002,3000,0,0.0,1.0
items,5000,Full_PRA,1.7849247455596924,3000,0,0.0,1.0
items,5000,Hybrid_SSA,0.013960838317871094,15,0,0.995,1.0
items,5000,Hybrid_PRA,0.011782646179199219,15,0,0.995,1.0
timestamps,5,Full_SSA,0.17736196517944336,3000,29,0.0,1.0
timestamps,5,Full_PRA,0.2334752082824707,3000,29,0.0,1.0
timestamps,5,Hybrid_SSA,0.008343219757080078,15,0,0.995,0.0
timestamps,5,Hybrid_PRA,0.00356292724609375,15,0,0.995,0.0
timestamps,10,Full_SSA,0.3514072895050049,3000,23,0.0,1.0
timestamps,10,Full_PRA,0.4618067741394043,3000,23,0.0,1.0
timestamps,10,Hybrid_SSA,0.004828691482543945,15,0,0.995,0.0
timestamps,10,Hybrid_PRA,0.004619121551513672,15,0,0.995,0.0
timestamps,20,Full_SSA,0.7374730110168457,3000,11,0.0,1.0
timestamps,20,Full_PRA,0.8787939548492432,3000,11,0.0,1.0
timestamps,20,Hybrid_SSA,0.007662057876586914,15,0,0.995,0.0
timestamps,20,Hybrid_PRA,0.006791353225708008,15,0,0.995,0.0
