Query,Method,Runtime,Candidates,Results,Recall,PruningRatio
771,Full_SSA,0.354938268661499,3000,14,1.0,0.0
771,Full_PRA,0.37258100509643555,3000,14,1.0,0.0
771,Hybrid_SSA,0.009465456008911133,15,0,0.0,0.995
771,Hybrid_PRA,0.004412412643432617,15,0,0.0,0.995
438,Full_SSA,0.35030412673950195,3000,25,1.0,0.0
438,Full_PRA,0.40807628631591797,3000,25,1.0,0.0
438,Hybrid_SSA,0.004559040069580078,15,0,0.0,0.995
438,Hybrid_PRA,0.004505157470703125,15,0,0.0,0.995
653,Full_SSA,0.3546721935272217,3000,13,1.0,0.0
653,Full_PRA,0.40859174728393555,3000,13,1.0,0.0
653,Hybrid_SSA,0.00516200065612793,15,0,0.0,0.995
653,Hybrid_PRA,0.004658937454223633,15,0,0.0,0.995
88,Full_SSA,0.35712766647338867,3000,24,1.0,0.0
88,Full_PRA,0.40357542037963867,3000,24,1.0,0.0
88,Hybrid_SSA,0.004701375961303711,15,0,0.0,0.995
88,Hybrid_PRA,0.00428009033203125,15,0,0.0,0.995
433,Full_SSA,0.4159388542175293,3000,15,1.0,0.0
433,Full_PRA,0.38515448570251465,3000,15,1.0,0.0
433,Hybrid_SSA,0.004500627517700195,15,0,0.0,0.995
433,Hybrid_PRA,0.0042035579681396484,15,0,0.0,0.995
