Parameter,Value,Method,Runtime,Candidates,Results,PruningRatio,Recall
users,1000,Full_SSA,0.11818933486938477,1000,4,0.0,1.0
users,1000,Full_PRA,0.12664341926574707,1000,4,0.0,1.0
users,1000,Hybrid_SSA,0.003129243850708008,15,0,0.985,0.0
users,1000,Hybrid_PRA,0.002687692642211914,15,0,0.985,0.0
users,3000,Full_SSA,0.3524446487426758,3000,25,0.0,1.0
users,3000,Full_PRA,0.39435291290283203,3000,25,0.0,1.0
users,3000,Hybrid_SSA,0.004944324493408203,15,0,0.995,0.0
users,3000,Hybrid_PRA,0.00443577766418457,15,0,0.995,0.0
users,5000,Full_SSA,0.5887176990509033,5000,47,0.0,1.0
users,5000,Full_PRA,0.7188646793365479,5000,47,0.0,1.0
users,5000,Hybrid_SSA,0.0066070556640625,15,0,0.997,0.0
users,5000,Hybrid_PRA,0.006578683853149414,15,0,0.997,0.0
items,500,Full_SSA,0.22417664527893066,3000,40,0.0,1.0
items,500,Full_PRA,0.2945539951324463,3000,40,0.0,1.0
items,500,Hybrid_SSA,0.0047032833099365234,15,0,0.995,0.0
items,500,Hybrid_PRA,0.0047266483306884766,15,0,0.995,0.0
items,1000,Full_SSA,0.4144742488861084,3000,25,0.0,1.0
items,1000,Full_PRA,0.42903590202331543,3000,25,0.0,1.0
items,1000,Hybrid_SSA,0.005459308624267578,15,0,0.995,0.0
items,1000,Hybrid_PRA,0.005194187164306641,15,0,0.995,0.0
items,5000,Full_SSA,1.6797080039978027,3000,8,0.0,1.0
items,5000,Full_PRA,1.7441225051879883,3000,8,0.0,1.0
items,5000,Hybrid_SSA,0.013544321060180664,15,0,0.995,0.0
items,5000,Hybrid_PRA,0.013519763946533203,15,0,0.995,0.0
timestamps,5,Full_SSA,0.17433905601501465,3000,32,0.0,1.0
timestamps,5,Full_PRA,0.21034836769104004,3000,32,0.0,1.0
timestamps,5,Hybrid_SSA,0.0042150020599365234,15,0,0.995,0.0
timestamps,5,Hybrid_PRA,0.003737926483154297,15,0,0.995,0.0
timestamps,10,Full_SSA,0.3615000247955322,3000,25,0.0,1.0
timestamps,10,Full_PRA,0.39888501167297363,3000,25,0.0,1.0
timestamps,10,Hybrid_SSA,0.005015134811401367,15,0,0.995,0.0
timestamps,10,Hybrid_PRA,0.004921913146972656,15,0,0.995,0.0
timestamps,20,Full_SSA,0.7162959575653076,3000,14,0.0,1.0
timestamps,20,Full_PRA,0.7811391353607178,3000,14,0.0,1.0
timestamps,20,Hybrid_SSA,0.006939888000488281,15,0,0.995,0.0
timestamps,20,Hybrid_PRA,0.006885528564453125,15,0,0.995,0.0
